# Constructed from biom file
# OTU ID	SSU_rRNA	taxonomy	taxid
187909	2.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Bacillariophyceae;o__Naviculales;f__Naviculaceae;g__Navicula	50949
67942	5.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Bacillariophyceae;o__Naviculales;f__Pleurosigmataceae	197751
33587	27.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae	33836
181015	8.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Chaetocerotales;f__Attheyaceae;g__Attheya	265578
232209	28.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Chaetocerotales;f__Chaetocerotaceae;g__Chaetoceros	49237
211467	9.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Chaetocerotales;f__Chaetocerotaceae;g__Chaetoceros;s__Chaetoceros_debilis	122233
212103	1.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Chaetocerotales;f__Chaetocerotaceae;g__Chaetoceros;s__Chaetoceros_sp._RCC2564	1764852
147081	1.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Corethrales;f__Corethraceae;g__Corethron	49242
189410	3.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Rhizosoleniales;f__Rhizosoleniaceae;g__Guinardia	216800
188474	3.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Rhizosoleniales;f__Rhizosoleniaceae;g__Rhizosolenia	3004
141324	120.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales	33847
209266	2.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales;f__Skeletonemataceae	33848
145374	8.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales;f__Skeletonemataceae;g__Skeletonema	2842
7474	50.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales;f__Thalassiosiraceae	29202
58624	35.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales;f__Thalassiosiraceae;g__Porosira	49259
56685	1.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales;f__Thalassiosiraceae;g__Thalassiosira;s__Thalassiosira_oceanica	159749
7444	18.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Fragilariophyceae	33853
223285	3.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Fragilariophyceae;o__Fragilariales;f__Fragilariaceae	33856
104007	39.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Mediophyceae	589449
189899	111.0	sk__Eukaryota;k__;p__Cercozoa	136419
169850	3.0	sk__Eukaryota;k__;p__Cercozoa;c__;o__;f__;g__Cyranomonas	1892628
30825	7.0	sk__Eukaryota;k__;p__Cercozoa;c__;o__Cercomonadida;f__Cercomonadidae	45108
48932	1.0	sk__Eukaryota;k__;p__Cercozoa;c__;o__Cercomonadida;f__Cercomonadidae;g__Eocercomonas	321420
8563	1.0	sk__Eukaryota;k__;p__Cercozoa;c__;o__Glissomonadida	1238681
91239	1.0	sk__Eukaryota;k__;p__Cercozoa;c__;o__Glissomonadida;f__Viridiraptoridae	1435001
74924	314.0	sk__Eukaryota;k__;p__Cercozoa;c__Thecofilosea	1004930
203071	118.0	sk__Eukaryota;k__;p__Cercozoa;c__Thecofilosea;o__;f__Ebriacea;g__Ebria	361425
191371	206.0	sk__Eukaryota;k__;p__Cercozoa;c__Thecofilosea;o__Cryomonadida;f__Protaspidae;g__Cryothecomonas	151025
43542	2.0	sk__Eukaryota;k__;p__Cercozoa;c__Thecofilosea;o__Ventricleftida;f__Ventrifissuridae	1938506
53220	157.0	sk__Eukaryota;k__;p__Ciliophora	5878
127258	60.0	sk__Eukaryota;k__;p__Ciliophora;c__;o__;f__;g__Cryptocaryon	153250
176216	3.0	sk__Eukaryota;k__;p__Ciliophora;c__Litostomatea	5988
24849	6.0	sk__Eukaryota;k__;p__Ciliophora;c__Litostomatea;o__Cyclotrichida;f__Mesodiniidae	283645
26487	18.0	sk__Eukaryota;k__;p__Ciliophora;c__Litostomatea;o__Cyclotrichida;f__Mesodiniidae;g__Myrionecta	283648
74751	2.0	sk__Eukaryota;k__;p__Ciliophora;c__Litostomatea;o__Haptorida;f__Didiniidae	197898
98395	8.0	sk__Eukaryota;k__;p__Ciliophora;c__Litostomatea;o__Haptorida;f__Didiniidae;g__Didinium	5996
232829	1.0	sk__Eukaryota;k__;p__Ciliophora;c__Oligohymenophorea;o__Apostomatida	524891
47094	1.0	sk__Eukaryota;k__;p__Ciliophora;c__Oligohymenophorea;o__Sessilida;f__Vorticellidae	85904
219068	1.0	sk__Eukaryota;k__;p__Ciliophora;c__Phyllopharyngea;o__Endogenida;f__Acinetidae;g__Acineta	239360
