GeneID	MGYA00661780-SRS5061789	MGYA00661782-SRS5061780	MGYA00661783-SRS5061791	MGYA00661784-SRS5061788	MGYA00661785-SRS5061785	MGYA00661787-SRS5061770	MGYA00661789-SRS5061775	MGYA00661791-SRS5061774	MGYA00661792-SRS5061794	MGYA00661793-SRS5061783
g_taxa_Selenomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
g_taxa_Solobacterium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
g_taxa_Streptococcus	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0
g_taxa_Streptomyces	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
g_taxa_Tannerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
g_taxa_Veillonella	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
s_taxa_Candidatus_Saccharibacteria_oral_taxon_TM7x	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
s_taxa_Cryptobacterium_curtum	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
s_taxa_Dialister_pneumosintes	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
s_taxa_Prevotella_oris	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
s_taxa_TM7_phylum_sp._oral_clone_HD027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
s_taxa_[Eubacterium]_brachy	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
