superkingdom	kingdom	phylum	SRR6435242_MERGED_FASTQ	SRR6435245_MERGED_FASTQ	SRR6435251_MERGED_FASTQ	SRR6435253_MERGED_FASTQ	SRR6435252_MERGED_FASTQ	SRR6435246_MERGED_FASTQ	SRR6435240_MERGED_FASTQ	SRR6435249_MERGED_FASTQ	SRR6435248_MERGED_FASTQ	SRR6435244_MERGED_FASTQ	SRR6435243_MERGED_FASTQ	SRR6435241_MERGED_FASTQ	SRR6435250_MERGED_FASTQ	SRR6435247_MERGED_FASTQ
Bacteria	Unassigned	Candidatus_Aerophobetes	1	0	0	0	0	0	2	2	0	0	2	3	1	1
Bacteria	Unassigned	Candidatus_Atribacteria	16	2	17	4	5	3	8	6	2	2	4	3	0	9
Bacteria	Unassigned	Candidatus_Azambacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Beckwithbacteria	1	0	2	0	0	0	1	0	1	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Berkelbacteria	5	13	5	3	0	5	8	5	2	1	2	5	1	6
Bacteria	Unassigned	Candidatus_Bipolaricaulota	7	23	10	5	9	7	7	13	4	1	13	18	2	19
Bacteria	Unassigned	Candidatus_Buchananbacteria	2	15	7	3	3	1	2	3	2	0	6	8	1	7
Bacteria	Unassigned	Candidatus_Campbellbacteria	8	11	7	0	11	6	3	8	0	0	4	6	0	8
Bacteria	Unassigned	Candidatus_Chisholmbacteria	1	0	3	0	0	1	0	1	0	0	0	0	0	1
Bacteria	Unassigned	Candidatus_Cloacimonetes	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Collierbacteria	0	1	0	0	1	0	0	1	0	0	0	0	0	1
Bacteria	Unassigned	Candidatus_Colwellbacteria	0	0	0	0	0	1	0	1	0	0	0	3	0	1
Bacteria	Unassigned	Candidatus_Dadabacteria	2	3	5	1	1	2	7	3	0	1	1	2	0	3
Bacteria	Unassigned	Candidatus_Doudnabacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Falkowbacteria	19	38	32	11	22	11	34	30	12	0	17	21	10	25
Bacteria	Unassigned	Candidatus_Giovannonibacteria	0	0	0	0	0	0	2	0	0	0	0	0	1	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	14	1	54	6	3	1	10	6	2	0	2	14	17	2
Bacteria	Unassigned	Candidatus_Hydrogenedentes	3	10	7	4	10	10	2	6	3	0	2	6	1	6
Bacteria	Unassigned	Candidatus_Kaiserbacteria	31	43	34	15	36	23	14	12	5	0	18	20	15	19
Bacteria	Unassigned	Candidatus_Kerfeldbacteria	22	21	40	20	9	8	10	11	3	3	9	14	9	25
Bacteria	Unassigned	Candidatus_Komeilibacteria	0	14	27	6	11	7	9	5	1	0	9	3	5	12
Bacteria	Unassigned	Candidatus_Kuenenbacteria	11	61	26	4	13	13	15	8	5	1	5	12	6	21
Bacteria	Unassigned	Candidatus_Latescibacteria	27	55	37	14	28	10	31	31	10	0	30	24	14	27
Bacteria	Unassigned	Candidatus_Liptonbacteria	1	0	0	0	1	0	0	0	0	0	0	0	0	1
Bacteria	Unassigned	Candidatus_Lloydbacteria	1	0	0	0	1	0	0	0	3	0	0	1	0	0
