superkingdom	kingdom	phylum	ERR3323784_MERGED_FASTQ	ERR3323783_MERGED_FASTQ	ERR3323782_MERGED_FASTQ	ERR3323781_MERGED_FASTQ	ERR3265102_MERGED_FASTQ	ERR3265101_MERGED_FASTQ	ERR3265100_MERGED_FASTQ	ERR3265099_MERGED_FASTQ	ERR3265098_MERGED_FASTQ	ERR3265097_MERGED_FASTQ	ERR3265096_MERGED_FASTQ	ERR3265094_MERGED_FASTQ	ERR3265093_MERGED_FASTQ	ERR3265092_MERGED_FASTQ	ERR3265091_MERGED_FASTQ	ERR3265090_MERGED_FASTQ	ERR3265089_MERGED_FASTQ	ERR3265088_MERGED_FASTQ	ERR3265087_MERGED_FASTQ	ERR3265086_MERGED_FASTQ	ERR3265085_MERGED_FASTQ	ERR3265084_MERGED_FASTQ	ERR3265083_MERGED_FASTQ	ERR3265082_MERGED_FASTQ	ERR3265081_MERGED_FASTQ	ERR3265080_MERGED_FASTQ	ERR3265079_MERGED_FASTQ	ERR3265078_MERGED_FASTQ	ERR3265077_MERGED_FASTQ	ERR3265076_MERGED_FASTQ	ERR3265075_MERGED_FASTQ	ERR3265074_MERGED_FASTQ	ERR3265073_MERGED_FASTQ	ERR3265072_MERGED_FASTQ	ERR3265071_MERGED_FASTQ	ERR3265070_MERGED_FASTQ	ERR3265069_MERGED_FASTQ	ERR3265068_MERGED_FASTQ	ERR3265067_MERGED_FASTQ	ERR3265066_MERGED_FASTQ	ERR3265065_MERGED_FASTQ	ERR3265064_MERGED_FASTQ	ERR3265063_MERGED_FASTQ
Bacteria	Unassigned	Candidatus_Berkelbacteria	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	2	1	2	5	0	1	0	0	0	1	1	3	0	1	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Blackburnbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Campbellbacteria	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	3	0	0	0
Bacteria	Unassigned	Candidatus_Colwellbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	17	21	25	5	0	0	0	0	0	0	0	14	3	4	18	7	8	10	11	5	5	10	35	6	15	10	9	9	14	6	49	26	24	22	25	23	7	4	10	24	14	1	2
Bacteria	Unassigned	Candidatus_Falkowbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Giovannonibacteria	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	3	0	1	1	1	1	0	3	1	1	0	3	0	0	1	1	1	0	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Hydrogenedentes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	9	10	10	1	0	0	0	0	0	0	0	7	4	6	9	4	9	6	7	2	9	7	16	1	5	0	13	4	5	5	14	8	12	5	23	8	2	1	8	7	3	6	4
Bacteria	Unassigned	Candidatus_Kerfeldbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1
Bacteria	Unassigned	Candidatus_Kuenenbacteria	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	1	1	2	3	1	0	0	0	2	1	0	0
Bacteria	Unassigned	Candidatus_Latescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Levybacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0
