superkingdom	kingdom	phylum	SRR13978093_MERGED_FASTQ	SRR13978086_MERGED_FASTQ	SRR13978082_MERGED_FASTQ	SRR13978075_MERGED_FASTQ	SRR13978074_MERGED_FASTQ	SRR13978094_MERGED_FASTQ	SRR13978085_MERGED_FASTQ	SRR13978084_MERGED_FASTQ	SRR13978081_MERGED_FASTQ	SRR13978079_MERGED_FASTQ	SRR13978078_MERGED_FASTQ	SRR13978077_MERGED_FASTQ	SRR13978092_MERGED_FASTQ	SRR13978087_MERGED_FASTQ	SRR13978073_MERGED_FASTQ	SRR13978091_MERGED_FASTQ	SRR13978089_MERGED_FASTQ	SRR13978088_MERGED_FASTQ	SRR13978076_MERGED_FASTQ	SRR13978090_MERGED_FASTQ	SRR13978083_MERGED_FASTQ	SRR13978080_MERGED_FASTQ	SRR13978072_MERGED_FASTQ
Bacteria	Unassigned	Candidatus_Vogelbacteria	7	33	64	49	37	21	193	31	67	7	6	2	15	117	3	5	46	45	1	31	9	6	7
Bacteria	Unassigned	Candidatus_Woesebacteria	49	65	99	28	18	19	71	74	82	112	58	15	113	76	3	38	19	19	1	26	132	35	7
Bacteria	Unassigned	Candidatus_Wolfebacteria	0	0	0	1	0	0	0	1	1	0	7	0	0	0	0	1	0	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Woykebacteria	69	2	0	0	0	53	23	15	1	25	41	35	19	3	3	4	1	2	1	6	13	19	16
Bacteria	Unassigned	Candidatus_Yanofskybacteria	3	68	365	202	204	51	169	128	292	8	5	10	103	38	0	18	40	84	0	44	82	0	1
Bacteria	Unassigned	Candidatus_Yonathbacteria	7	17	62	48	21	1	2	2	93	2	1	0	1	3	4	13	3	3	23	4	2	2	0
Bacteria	Unassigned	Candidatus_Zambryskibacteria	11	390	992	410	457	53	112	63	809	7	4	33	51	37	12	61	69	148	5	90	53	38	8
Bacteria	Unassigned	Chlamydiae	1368	2457	5009	1130	1304	1541	1851	1894	3605	1168	1925	1542	2650	2266	515	1068	2001	1372	793	2471	1191	1014	885
Bacteria	Unassigned	Chloroflexi	17351	117204	132439	79326	77801	27748	15335	17094	96650	27458	19331	23847	15558	15471	17182	9313	9563	10667	23581	13778	10756	19016	17131
Bacteria	Unassigned	Cyanobacteria	4124	984	1976	1782	1871	1532	832	883	1628	834	1290	1158	1042	757	264	659	408	448	188	986	674	2671	844
Bacteria	Unassigned	Deferribacteres	0	1	0	1	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Deinococcus-Thermus	207	1795	1403	382	272	253	116	66	946	1100	234	215	44	74	1915	55	35	30	1199	48	27	190	423
Bacteria	Unassigned	Elusimicrobia	140	1911	2361	1360	1343	200	585	823	1816	81	144	135	705	486	19	378	322	527	0	665	546	149	109
