superkingdom	kingdom	phylum	SRR13485166_MERGED_FASTQ	SRR13485165_MERGED_FASTQ	SRR13485164_MERGED_FASTQ	SRR13485163_MERGED_FASTQ	SRR13485162_MERGED_FASTQ	SRR13485157_MERGED_FASTQ	SRR13485156_MERGED_FASTQ	SRR13485155_MERGED_FASTQ	SRR13485154_MERGED_FASTQ
Bacteria	Unassigned	Verrucomicrobia	0	3	7	0	8	1	2	7	4
Bacteria	Unassigned	candidate_division_NC10	0	6	26	37	33	0	13	0	5
Bacteria	Unassigned	candidate_division_WWE3	0	0	3	0	1	0	0	0	0
Eukaryota	Fungi	Ascomycota	0	0	1	0	0	0	0	0	1
Eukaryota	Fungi	Basidiomycota	0	0	0	9	0	0	0	0	0
Eukaryota	Metazoa	Annelida	0	1	0	0	0	0	16	0	14
Eukaryota	Metazoa	Arthropoda	0	1	0	0	0	0	1	0	1
Eukaryota	Metazoa	Cnidaria	1	52	0	0	0	3	157	36	278
Eukaryota	Metazoa	Gastrotricha	0	0	0	0	0	0	4	0	0
Eukaryota	Metazoa	Hemichordata	0	0	0	0	0	0	0	0	1
Eukaryota	Metazoa	Nematoda	1	22	0	0	0	0	4	0	15
Eukaryota	Metazoa	Nemertea	0	0	0	0	0	0	1	0	0
Eukaryota	Metazoa	Platyhelminthes	0	1	0	0	0	0	1	0	4
Eukaryota	Metazoa	Unassigned	0	2	0	0	0	0	4	0	3
Eukaryota	Metazoa	Xenacoelomorpha	0	4	0	0	0	0	0	0	0
Eukaryota	Unassigned	Apicomplexa	0	8	0	0	0	0	6	0	12
Eukaryota	Unassigned	Cercozoa	0	7	1	3	0	0	4	0	0
Eukaryota	Unassigned	Ciliophora	0	5	0	0	0	0	44	36	45
Eukaryota	Unassigned	Discosea	0	2	0	0	0	24	10	3	0
Eukaryota	Unassigned	Euglenozoa	0	0	0	0	0	0	0	5	1
Eukaryota	Unassigned	Fornicata	0	0	0	0	75	0	0	0	0
Eukaryota	Unassigned	Perkinsozoa	0	0	0	0	0	0	5	0	1
Eukaryota	Unassigned	Unassigned	0	12	0	0	1	1	8	5	21
Eukaryota	Viridiplantae	Streptophyta	0	1	0	0	0	0	0	0	0
Eukaryota	Viridiplantae	Unassigned	0	3	0	0	0	0	0	0	2
